Season,Week,PlayerID,Name,Team,Opponent,HomeOrAway,Position,Receptions,ReceivingYards,ReceivingTouchdowns,RushingYards,RushingTouchdowns,PassingYards,PassingTouchdowns,FumblesLost,FantasyPoints,FantasyPointsPPR,TotalYards,TotalTDs,source_file
2024,1,19801,Josh Allen,BUF,ARI,HOME,QB,0.0,0.0,0.0,35.4,0.6,258.7,1.8,0.4,22.29,22.29,294.1,2.4,nfl_2024_week1_skill_positions_projections.csv
2024,1,21831,Jalen Hurts,PHI,GB,HOME,QB,0.0,0.0,0.0,39.1,0.7,238.6,1.5,0.4,21.45,21.45,277.7,2.2,nfl_2024_week1_skill_positions_projections.csv
2024,1,19781,Lamar Jackson,BAL,KC,AWAY,QB,0.0,0.0,0.0,51.4,0.3,221.4,1.4,0.3,19.6,19.6,272.8,1.7,nfl_2024_week1_skill_positions_projections.csv
2024,1,23239,C.J. Stroud,HOU,IND,AWAY,QB,0.0,0.0,0.0,11.2,0.2,280.7,1.9,0.2,19.55,19.55,291.9,2.1,nfl_2024_week1_skill_positions_projections.csv
2024,1,18890,Patrick Mahomes,KC,BAL,HOME,QB,0.0,0.0,0.0,23.3,0.1,265.4,1.9,0.2,19.35,19.35,288.7,2.0,nfl_2024_week1_skill_positions_projections.csv
2024,1,24117,Anthony Richardson,IND,HOU,HOME,QB,0.0,0.0,0.0,41.3,0.5,223.8,1.3,0.3,19.28,19.28,265.1,1.8,nfl_2024_week1_skill_positions_projections.csv
2024,1,21841,Jordan Love,GB,PHI,AWAY,QB,0.0,0.0,0.0,12.1,0.2,256.2,1.8,0.3,17.86,17.86,268.3,2.0,nfl_2024_week1_skill_positions_projections.csv
2024,1,17922,Jared Goff,DET,LAR,HOME,QB,0.0,0.0,0.0,3.5,0.1,267.3,1.9,0.2,17.64,17.64,270.8,2.0,nfl_2024_week1_skill_positions_projections.csv
2024,1,22490,Trevor Lawrence,JAX,MIA,AWAY,QB,0.0,0.0,0.0,18.2,0.2,255.4,1.6,0.3,17.64,17.64,273.6,1.8,nfl_2024_week1_skill_positions_projections.csv
2024,1,21693,Joe Burrow,CIN,NE,HOME,QB,0.0,0.0,0.0,13.7,0.1,249.7,1.8,0.2,17.36,17.36,263.4,1.9,nfl_2024_week1_skill_positions_projections.csv
2024,1,20889,Kyler Murray,ARI,BUF,AWAY,QB,0.0,0.0,0.0,35.0,0.3,224.3,1.2,0.2,17.27,17.27,259.3,1.5,nfl_2024_week1_skill_positions_projections.csv
2024,1,23235,Jayden Daniels,WAS,TB,AWAY,QB,0.0,0.0,0.0,38.6,0.3,221.5,1.2,0.3,17.12,17.12,260.1,1.5,nfl_2024_week1_skill_positions_projections.csv
2024,1,24927,Caleb Williams,CHI,TEN,HOME,QB,0.0,0.0,0.0,21.4,0.2,239.4,1.5,0.3,16.92,16.92,260.8,1.7,nfl_2024_week1_skill_positions_projections.csv
2024,1,9038,Matthew Stafford,LAR,DET,AWAY,QB,0.0,0.0,0.0,4.1,0.1,269.9,1.7,0.1,16.81,16.81,274.0,1.8,nfl_2024_week1_skill_positions_projections.csv
2024,1,21677,Tua Tagovailoa,MIA,JAX,HOME,QB,0.0,0.0,0.0,5.4,0.0,270.9,1.8,0.2,16.58,16.58,276.29999999999995,1.8,nfl_2024_week1_skill_positions_projections.csv
2024,1,14895,Geno Smith,SEA,DEN,HOME,QB,0.0,0.0,0.0,13.1,0.1,243.1,1.7,0.2,16.43,16.43,256.2,1.8,nfl_2024_week1_skill_positions_projections.csv
2024,1,21681,Justin Herbert,LAC,LV,HOME,QB,0.0,0.0,0.0,17.3,0.2,235.4,1.4,0.2,16.35,16.35,252.7,1.6,nfl_2024_week1_skill_positions_projections.csv
2024,1,18857,Deshaun Watson,CLE,DAL,HOME,QB,0.0,0.0,0.0,24.8,0.2,220.4,1.4,0.2,16.1,16.1,245.2,1.6,nfl_2024_week1_skill_positions_projections.csv
2024,1,18055,Dak Prescott,DAL,CLE,AWAY,QB,0.0,0.0,0.0,12.3,0.1,245.0,1.6,0.2,16.03,16.03,257.3,1.7000000000000002,nfl_2024_week1_skill_positions_projections.csv
2024,1,19790,Baker Mayfield,TB,WAS,HOME,QB,0.0,0.0,0.0,11.1,0.1,239.8,1.6,0.2,15.9,15.9,250.9,1.7000000000000002,nfl_2024_week1_skill_positions_projections.csv
2024,1,14252,Kirk Cousins,ATL,PIT,HOME,QB,0.0,0.0,0.0,6.2,0.1,248.4,1.6,0.3,15.76,15.76,254.6,1.7000000000000002,nfl_2024_week1_skill_positions_projections.csv
2024,1,23241,Brock Purdy,SF,NYJ,HOME,QB,0.0,0.0,0.0,8.8,0.1,235.7,1.6,0.2,15.51,15.51,244.5,1.7000000000000002,nfl_2024_week1_skill_positions_projections.csv
2024,1,22492,Justin Fields,PIT,ATL,AWAY,QB,0.0,0.0,0.0,41.8,0.4,176.2,1.0,0.4,15.43,15.43,218.0,1.4,nfl_2024_week1_skill_positions_projections.csv
2024,1,20841,Daniel Jones,NYG,MIN,HOME,QB,0.0,0.0,0.0,27.1,0.2,214.2,1.1,0.2,15.08,15.08,241.3,1.3,nfl_2024_week1_skill_positions_projections.csv
2024,1,2593,Aaron Rodgers,NYJ,SF,AWAY,QB,0.0,0.0,0.0,7.6,0.1,229.7,1.4,0.2,14.75,14.75,237.3,1.5,nfl_2024_week1_skill_positions_projections.csv
2024,1,18082,Tyreek Hill,MIA,JAX,HOME,WR,7.1,99.8,0.7,1.9,0.0,0.0,0.0,0.0,14.37,21.47,101.7,0.7,nfl_2024_week1_skill_positions_projections.csv
2024,1,23270,Will Levis,TEN,CHI,AWAY,QB,0.0,0.0,0.0,13.2,0.1,225.0,1.3,0.2,14.32,14.32,238.2,1.4,nfl_2024_week1_skill_positions_projections.csv
2024,1,19812,Sam Darnold,MIN,NYG,AWAY,QB,0.0,0.0,0.0,12.1,0.2,226.8,1.3,0.3,14.28,14.28,238.9,1.5,nfl_2024_week1_skill_positions_projections.csv
2024,1,23189,Bijan Robinson,ATL,PIT,HOME,RB,3.7,29.9,0.2,71.4,0.5,0.0,0.0,0.1,14.13,17.83,101.3,0.7,nfl_2024_week1_skill_positions_projections.csv
2024,1,25069,Bo Nix,DEN,SEA,AWAY,QB,0.0,0.0,0.0,19.9,0.2,204.6,1.1,0.2,13.97,13.97,224.5,1.3,nfl_2024_week1_skill_positions_projections.csv
2024,1,22526,Breece Hall,NYJ,SF,AWAY,RB,3.6,28.8,0.2,70.3,0.5,0.0,0.0,0.1,13.91,17.51,99.1,0.7,nfl_2024_week1_skill_positions_projections.csv
2024,1,16311,Derek Carr,NO,CAR,HOME,QB,0.0,0.0,0.0,4.5,0.0,231.3,1.5,0.2,13.9,13.9,235.8,1.5,nfl_2024_week1_skill_positions_projections.csv
2024,1,23132,Bryce Young,CAR,NO,AWAY,QB,0.0,0.0,0.0,13.7,0.1,210.1,1.2,0.2,13.37,13.37,223.8,1.3,nfl_2024_week1_skill_positions_projections.csv
2024,1,21682,Jonathan Taylor,IND,HOU,HOME,RB,2.1,16.5,0.1,76.1,0.6,0.0,0.0,0.1,13.26,15.36,92.6,0.7,nfl_2024_week1_skill_positions_projections.csv
2024,1,20880,Gardner Minshew II,LV,LAC,AWAY,QB,0.0,0.0,0.0,9.5,0.1,215.3,1.2,0.2,13.16,13.16,224.8,1.3,nfl_2024_week1_skill_positions_projections.csv
2024,1,20824,Josh Jacobs,GB,PHI,AWAY,RB,2.7,19.2,0.1,70.9,0.6,0.0,0.0,0.1,13.01,15.71,90.1,0.7,nfl_2024_week1_skill_positions_projections.csv
2024,1,17959,Derrick Henry,BAL,KC,AWAY,RB,1.3,10.1,0.1,72.9,0.7,0.0,0.0,0.1,12.9,14.2,83.0,0.7999999999999999,nfl_2024_week1_skill_positions_projections.csv
2024,1,18018,Jacoby Brissett,NE,CIN,AWAY,QB,0.0,0.0,0.0,13.1,0.1,217.7,1.0,0.3,12.62,12.62,230.8,1.1,nfl_2024_week1_skill_positions_projections.csv
2024,1,23200,Jahmyr Gibbs,DET,LAR,HOME,RB,3.5,25.2,0.2,60.7,0.5,0.0,0.0,0.1,12.59,16.09,85.9,0.7,nfl_2024_week1_skill_positions_projections.csv
2024,1,22587,Amon-Ra St. Brown,DET,LAR,HOME,WR,7.2,87.7,0.6,1.8,0.0,0.0,0.0,0.0,12.55,19.75,89.5,0.6,nfl_2024_week1_skill_positions_projections.csv
2024,1,19766,Saquon Barkley,PHI,GB,HOME,RB,2.7,19.3,0.1,71.8,0.5,0.0,0.0,0.1,12.51,15.21,91.1,0.6,nfl_2024_week1_skill_positions_projections.csv
2024,1,23212,Kyren Williams,LAR,DET,AWAY,RB,2.4,17.2,0.1,67.0,0.6,0.0,0.0,0.1,12.42,14.82,84.2,0.7,nfl_2024_week1_skill_positions_projections.csv
2024,1,21679,CeeDee Lamb,DAL,CLE,AWAY,WR,6.8,85.7,0.5,3.8,0.1,0.0,0.0,0.1,12.35,19.15,89.5,0.6,nfl_2024_week1_skill_positions_projections.csv
2024,1,23214,Kenneth Walker III,SEA,DEN,HOME,RB,1.9,13.9,0.1,68.9,0.6,0.0,0.0,0.1,12.28,14.18,82.80000000000001,0.7,nfl_2024_week1_skill_positions_projections.csv
2024,1,21696,Travis Etienne Jr.,JAX,MIA,AWAY,RB,2.9,22.7,0.1,64.1,0.5,0.0,0.0,0.1,12.08,14.98,86.8,0.6,nfl_2024_week1_skill_positions_projections.csv
2024,1,24179,De'Von Achane,MIA,JAX,HOME,RB,2.8,22.3,0.2,58.3,0.5,0.0,0.0,0.1,12.06,14.86,80.6,0.7,nfl_2024_week1_skill_positions_projections.csv
2024,1,18878,Alvin Kamara,NO,CAR,HOME,RB,4.1,27.9,0.2,57.8,0.4,0.0,0.0,0.1,11.97,16.07,85.69999999999999,0.6000000000000001,nfl_2024_week1_skill_positions_projections.csv
2024,1,23371,Isiah Pacheco,KC,BAL,HOME,RB,2.5,17.6,0.1,65.8,0.5,0.0,0.0,0.1,11.74,14.24,83.4,0.6,nfl_2024_week1_skill_positions_projections.csv
2024,1,21685,Justin Jefferson,MIN,NYG,AWAY,WR,6.5,88.0,0.5,0.5,0.0,0.0,0.0,0.1,11.65,18.15,88.5,0.5,nfl_2024_week1_skill_positions_projections.csv
2024,1,18858,Joe Mixon,HOU,IND,AWAY,RB,2.7,20.0,0.1,62.4,0.5,0.0,0.0,0.1,11.64,14.34,82.4,0.6,nfl_2024_week1_skill_positions_projections.csv
2024,1,20882,David Montgomery,DET,LAR,HOME,RB,1.3,9.9,0.1,58.5,0.7,0.0,0.0,0.1,11.44,12.74,68.4,0.7999999999999999,nfl_2024_week1_skill_positions_projections.csv
2024,1,21042,A.J. Brown,PHI,GB,HOME,WR,5.9,82.9,0.5,0.1,0.0,0.0,0.0,0.1,11.1,17.0,83.0,0.5,nfl_2024_week1_skill_positions_projections.csv
2024,1,23217,Rachaad White,TB,WAS,HOME,RB,3.2,24.7,0.1,58.1,0.4,0.0,0.0,0.1,11.08,14.28,82.8,0.5,nfl_2024_week1_skill_positions_projections.csv
2024,1,23247,James Cook,BUF,ARI,HOME,RB,2.8,22.2,0.2,59.7,0.3,0.0,0.0,0.1,10.99,13.79,81.9,0.5,nfl_2024_week1_skill_positions_projections.csv
